상호명,대표사진1,대표사진2,주소,맛 평점,가격 평점,응대 평점,평균 평점,전화번호,대표 리뷰,카테고리,분위기 태그,메뉴 정보,링크,운영시간
100퍼센트 산꼼장어,"<img alt=""100퍼센트 산꼼장어 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20181107193012_photo2_2e6b526c2058.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""100퍼센트 산꼼장어 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20181107193012_photo2_2e6b526c2058.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로 26,5.0,3.0,3.0,3.67,,"꼼장어는 정말 맛있어요. 가격은 다소 있지만, 재료들도 신선하고 꼼장어는 맛있게 먹을 수 있어요","꼼장어, 산꼼장어",분위기 서민적인(1) 시끌벅적한(1),"['소금구이 - 20,000원', '산꼼장어 - 20,000원']",https://www.diningcode.com/profile.php?rid=02TMhs0PfLvd,"['목: : 17:00 - 00:00', '금: 영업시간: 17:00 - 00:00', '토: 영업시간: 17:00 - 00:00', '일: 영업시간: 17:00 - 00:00', '월: 영업시간: 17:00 - 00:00', '화: 영업시간: 17:00 - 00:00', '수: 영업시간: 17:00 - 00:00']"
삼통치킨 한성대점,"<img alt=""삼통치킨 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240928105942793_photo_ae9ee822d767.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""삼통치킨 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240928105942793_photo_ae9ee822d767.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로2길 5,4.0,3.0,3.0,3.33,정보없음,리뷰 없음,정보없음,분위기 서민적인(2) 지역주민이찾는(1),"['마늘치킨 - 19,000원', '삼통골뱅이소면 - 23,000원', '후라이드치킨 - 18,000원', '양념치킨 - 19,000원', '간장치킨 - 19,000원', '파닭치킨 - 20,000원', '소떡소떡 - 12,000원', '먹태 - 19,000원', '해물떡볶이 - 20,000원', '해물누룽지탕 - 18,000원']",https://www.diningcode.com/profile.php?rid=068kpqubxJg1,"['목: : 17:00 - 00:00', '금: 영업시간: 17:00 - 00:00', '토: 영업시간: 17:00 - 00:00', '일: 영업시간: 17:00 - 00:00', '월: 영업시간: 17:00 - 00:00', '화: 영업시간: 17:00 - 00:00', '수: 영업시간: 17:00 - 00:00']"
고기야놀자,"<img alt=""고기야놀자 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240625021450_photo2_3b929888cbc2.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""고기야놀자 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240625021450_photo2_3b929888cbc2.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로2길 47,5.0,3.0,5.0,4.33,정보없음,리뷰 없음,정보없음,분위기 서민적인(1),"['생삼겹 (150g) - 17,000원', '생목살 (150g) - 18,000원', '항정살 (150g) - 19,000원', '양념삼겹 (150g) - 19,000원', '대패삼겹 (180g) - 12,000원']",https://www.diningcode.com/profile.php?rid=0l3FJgW7N9Ve,"['목: 확인 필요', '금: 확인필요', '토: 확인필요', '일: 확인필요', '월: 확인필요', '화: 확인필요', '수: 확인필요']"
푸른집 나주곰탕,"<img alt=""푸른집 나주곰탕 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20200105092322305_photo_312eead77f96.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""푸른집 나주곰탕 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20200105092322305_photo_312eead77f96.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로6길 20,3.0,3.0,3.0,3.0,,가격이 진짜 저렴해서 다시 오고싶은 맛집입니다. 골목에 있어서 뭔가 더 오고싶어져요.,"곰탕, 뼈해장국",분위기 가성비좋은(1),"['삼계탕(계절) - 14,000원', '소고기수육전골 중 - 30,000원', '뼈해장국 특 - 11,000원', '순대국밥 특 - 10,000원', '장터국밥 특 - 10,000원', '소고기수육 중 - 25,000원', '감자탕 중 - 25,000원', '나주곰탕 - 7,900원', '뼈해장국 - 7,900원', '순대국밥 - 7,900원', '장터국밥 - 7,900원', '전복곰탕 - 12,000원', '나주곰탕 특 - 10,000원']",https://www.diningcode.com/profile.php?rid=0ol9kycHe7f4,"['목: 확인 필요', '금: 확인필요', '토: 확인필요', '일: 확인필요', '월: 확인필요', '화: 확인필요', '수: 확인필요']"
369마실,"<img alt=""369마실 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240714044525_photo2_739012f2133e.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""369마실 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240714044525_photo2_739012f2133e.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로4가길 13-1,5.0,5.0,5.0,5.0,정보없음,리뷰 없음,정보없음,분위기 숨은맛집(3) 캐주얼한(2) 경관/야경이좋은(2) 조용한(2) 예쁜(1)…더보기 깔끔한(1) 이국적/이색적(1) 지역주민이찾는(1) 서민적인(1),"['돌과자 - 3,500원', '밥그릇타락케익 - 5,500원', '아메리카노 - 3,500원', '카페라떼 - 4,000원', '369 마을 부녀회 특산품 - 5,000원', '하동 노란매실 에이드/차 - 5,000원', '직접 쪄서 만든 고구마라떼 - 5,000원', '바닐라라떼 - 4,500원', '초코라떼 - 5,000원', '과일청 에이드 - 5,000원']",https://www.diningcode.com/profile.php?rid=1gZ8jAlCs4NJ,"['목: : 10:00 - 19:00', '금: 영업시간: 10:00 - 19:00', '토: 영업시간: 10:00 - 19:00', '일: 영업시간: 10:00 - 19:00', '월: 영업시간: 10:00 - 19:00', '화: 영업시간: 10:00 - 19:00', '수: 영업시간: 10:00 - 19:00']"
고기굽는마을,"<img alt=""고기굽는마을 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20220815074923_photo2_69c7f5c7e9c7.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""고기굽는마을 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20220815074923_photo2_69c7f5c7e9c7.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로11길 10,5.0,4.0,5.0,4.67,정보없음,리뷰 없음,정보없음,분위기 시끌벅적한(1) 숨은맛집(1) 캐주얼한(1) 가성비좋은(1) 지역주민이찾는(1)…더보기,"['한우1++짝갈비모듬(150g) - 30,000원', '삼겹살 (180g) - 16,000원', '알밥 - 5,000원', '목살 (180g) - 16,000원', '소갈비살 (150g) - 18,000원', '양념소갈비살(200g) - 18,000원', '오징어사리 - 13,000원', '새우사리 6미 - 6,000원', '물냉면 - 7,000원', '비빔냉면 - 7,000원', '된장찌개 - 5,000원']",https://www.diningcode.com/profile.php?rid=2d08HGNdgk6t,"['목: : 17:00 - 00:00', '금: 영업시간: 17:00 - 00:00', '토: 영업시간: 17:00 - 00:00', '일: 영업시간: 17:00 - 23:00', '월: 영업시간: 17:00 - 00:00', '화: 영업시간: 17:00 - 00:00', '수: 영업시간: 17:00 - 00:00']"
모모타코야끼 한성대점,"<img alt=""모모타코야끼 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241102071647267_photo_ae9ee822d767.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""모모타코야끼 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241102071647267_photo_ae9ee822d767.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로10길 3,3.7,3.7,4.3,3.9,,"배달이 빨라서 따뜻하게 잘먹었어요 소스가 엄청 넉넉해서 짭조롬 달콤한게 중독성 있어요 
근데 메뉴가격이 달라서 배달보단 가서 먹는게 이득인거 같아요","타코야끼, 타코",분위기 지역주민이찾는(1) 서민적인(1),"['타코야끼 - 5,000원']",https://www.diningcode.com/profile.php?rid=2dodVpSTbbX6,"['목: : 18:00 - 04:00', '금: 영업시간: 18:00 - 04:00', '토: 영업시간: 18:00 - 04:00', '일: 영업시간: 18:00 - 04:00', '월: 영업시간: 18:00 - 04:00', '화: 영업시간: 18:00 - 04:00', '수: 영업시간: 18:00 - 04:00']"
탐앤탐스 한성대점,"<img alt=""탐앤탐스 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240727093056_photo2_e829952808f4.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""탐앤탐스 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240727093056_photo2_e829952808f4.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로 48,5.0,5.0,5.0,5.0,정보없음,리뷰 없음,정보없음,분위기 서민적인(1) 캐주얼한(1) 가성비좋은(1) 깔끔한(1),"['꼰대라떼 - ', '탐의보감 3종 - ', '콜드브루 300ml - ', '허니버터브레드 - ', '페퍼로니 프레즐 - ', '싱글 오리진 커피 - ', '솔티드 카라멜 라떼 3종 - ', '콜라겐 요거트 스무디 - ', '오리엔탈 라떼 - ', '고르곤졸라&디아블로 피자 - ', '크림,로제,토마토 파스타 - ', '고구마 프레즐 - ', '크림 달고나 카페라떼 - ', '그린라떼 - ']",https://www.diningcode.com/profile.php?rid=3GIf4mN4UUHG,"['목: : 08:00 - 00:00', '금: 영업시간: 08:00 - 00:00', '토: 영업시간: 08:00 - 00:00', '일: 영업시간: 08:00 - 00:00', '월: 영업시간: 08:00 - 00:00', '화: 영업시간: 08:00 - 00:00', '수: 영업시간: 08:00 - 00:00']"
미림전집,"<img alt=""미림전집 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20221108094225079_photo_84679eccf046.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""미림전집 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20221108094225079_photo_84679eccf046.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로6길 20-32,5.0,5.0,3.0,4.33,정보없음,리뷰 없음,정보없음,분위기 서민적인(1) 캐주얼한(1) 가성비좋은(1) 깔끔한(1),"['모듬전 대 - 17,000원', '모듬전 중 - 10,000원', '콩비지 대 - 18,000원', '콩비지 중 - 12,000원', '감자전 - 12,000원']",https://www.diningcode.com/profile.php?rid=3x9BlZkRSmI2,"['목: 확인 필요', '금: 확인필요', '토: 확인필요', '일: 확인필요', '월: 확인필요', '화: 확인필요', '수: 확인필요']"
킵업커피로스터스,"<img alt=""킵업커피로스터스 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250518105128_photo2_3d05abf8c0e9.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""킵업커피로스터스 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250518105128_photo2_3d05abf8c0e9.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로 24,5.0,3.0,5.0,4.33,정보없음,리뷰 없음,정보없음,분위기 숨은맛집(1),"['스페셜티 싱글 - ', '원두 - ', '킵업크림라떼 - 5,500원', '요거트스무디 - 5,800원', '자몽에이드 - 5,800원', '자몽스윗얼그레이 - 6,000원', '피치스윗아이스티 - 5,500원', '피치크림라떼 - 6,000원', '자몽티 - 5,000원', '드립백 - ', '에스프레소 - 4,000원', '카페콘판나 - 4,300원', '카페그라니따 - 5,800원', '아메리카노 - 4,000원', '카페라떼 - 5,000원', '바닐라빈라떼 - 5,500원', '모카치노 - 5,800원', '아인슈페너 - 5,500원']",https://www.diningcode.com/profile.php?rid=5BE0nVrAfzYV,"['목: : 09:00 - 18:00', '금: 영업시간: 09:00 - 18:00', '토: 영업시간: 09:30 - 19:00', '일: 휴무일', '월: 영업시간: 09:00 - 18:00', '화: 영업시간: 09:00 - 18:00', '수: 영업시간: 09:00 - 18:00']"
